127	Ananasové plátky (sířené) - na váhu	0.14	2021	282.94
130	Datle - na váhu	0.07	10916	764.12
133	Meruňky celé sířené - na váhu	0.095	3312	314.64
136	Sušená rajčata - na váhu	0.21	2631	552.51
170	Kustovnice čínská - na váhu	0.35	1358	475.3
218	Rozinky (sířené) - na váhu	0.085	4679	397.715
219	Zázvor kostky (slazený, sířený) - na váhu	0.17	8502	1445.34
300	Meruňky celé nesířené - na váhu	0.14	10174	1424.36
333	Banánové plátky - na váhu	0.13	-116	0
354	Černý rybíz v bílé čokoládě - na váhu	0.36	4170	1501.2
399	Kokos strouhaný jemný - na váhu	0.086	9613	826.718
400	Rozinky (nesířené) - na váhu	0.11	33080	3638.8
445	Brusinky s jablečným sirupem (nesířené) - na váhu	0.25	2163	540.75
524	Žampiony plátky sušené - na váhu	1.6	224	358.4
539	Sušené hrušky sířené - na váhu	0.24	4058	973.92
561	Moruše bílá - na váhu	0.21	2502	525.42
576	Banány sušené kousky - na váhu	0.17	242	41.14
600	Švestky sušené sířené - na váhu	0.12	2656	318.72
8	Konopný (veganský) protein - na váhu	0.44	432	190.08
250	Ostatní	1	-9866	0
211	Zálohovaný kyblík (samostatně zakoupit nelze)	20	-3	0
227	Lahev na mléko nebo sklenice na jogurt	10	-180	0
238	Sáček bavlněný bílý malý	10	10	100
239	Sáček bavlněný bílý velký	20	-16	0
23	BIO Anýz - na váhu	0.9	238	214.2
25	BIO Bazalka - na váhu	0.5	328	164
26	BIO Chilli mleté - na váhu	0.8	517	413.6
28	BIO Citronela řezaná - na váhu	0.7	240	168
29	BIO Fenykl celý - na váhu	0.5	1000	500
31	Hřebíček celý - na váhu	0.92	72	66.24
178	Kurkuma - na váhu	0.2	499	99.8
179	BIO Majoránka - na váhu	1.5	334	501
180	BIO Oregano - na váhu	1.3	10	13
183	BIO Pepř bílý celý - na váhu	1.5	167	250.5
186	Skořice mletá - na váhu	0.6	74	44.4
289	Kmín tmavý - na váhu	0.12	4958	594.96
331	BIO Grilovací koření - na váhu	0.35	8	2.8
182	BIO Paprika sladká - na váhu	0.7	106	74.2
368	Sůl himálajská růžová jemná - na váhu	0.03	7709	231.27
425	Badyán celý hvězdičky - na váhu	0.75	52	39
428	Bobkový list - na váhu	0.75	227	170.25
429	Tymián - na váhu	0.29	174	50.46
435	Rozmarýn - na váhu	0.23	69	15.87
439	Nové koření - na váhu	0.35	442	154.7
447	Droždí lahůdkové se sladem - na váhu	0.37	0	0
498	Kari - na váhu	0.26	62	16.12
499	Gulášové koření Angula bez lepku - na váhu	0.2	2	0.4
184	BIO Pepř černý celý - na váhu	1.1	124	136.4
559	Přírodní třtinový cukr surový - na váhu	0.05	43916	2195.8
579	Ocet lihový 10% - stáčený produkt	0.015	912	13.68
596	Bylinkové máslo koření - na váhu	0.5	186	93
597	Petržel drcený list - na váhu	0.3	448	134.4
598	Česnekový granulát - na váhu	0.42	700	294
174	Farmářské máslo - na váhu	0.3	-42569	0
204	Farmářské mléko 1l	28	-183	0
208	Farmářský jogurt bílý 1 kg	58	-11	0
303	Francimel - probiotický nápoj meruňkový 200 ml	28	-19	0
304	Francimel - probiotický nápoj borůvkový 330 ml	35	-39	0
305	Sýr Zlatá Praha - na váhu	0.3	-13350	0
338	Francimel - probiotický nápoj meruňkový 330 ml	35	-1	0
339	Francimel - probiotický nápoj jahodový 200 ml	28	-4	0
365	Francimel - probiotický nápoj bílý 330 ml	34	-3	0
381	Francimel - probiotický nápoj borůvkový 200 ml	28	0	0
449	Tvarohový krém s příchutí čokolády 120 g	32	-62	0
450	Tvarohový krém s příchutí jahoda 120 g	32	-2	0
451	Tvarohový krém s příchutí borůvka 120 g	32	-10	0
453	Sýr tradiční česká NIVA - na váhu	0.205	32	6.56
577	Zámecká NIVA uzená - na váhu	0.205	270	55.35
584	Smetanový zákys 500ml	26	-49	0
585	Smetanový zákys ochucený 500ml	33	-79	0
586	Bílý jogurt 500ml	33	-138	0
587	Ovocný jogurt 180ml	22	-85	0
589	Dobrý Balkán 100g	28	10	280
590	Pomazánka tvarohová 120g	26	10	260
41	Petržel kořenová bez natě - na váhu	0.042	-780	0
220	Česnek - na váhu	0.132	244	32.208
221	Cibule žlutá - na váhu	0.029	-795	0
229	Brambory nové - na váhu	0.019	0	0
231	Jablka Gala - na váhu	0.032	-630	0
233	Žampiony - na váhu	0.075	100	7.5
252	Mrkev - na váhu	0.022	-1330	0
287	Jablka Jonagold - na váhu	0.032	-951	0
290	Ředkvičky svazek	14	1	14
375	Kapusta - na váhu	0.033	26	0.858
378	Konzumní brambory - na váhu	0.032	0	0
413	Dýně Hokaido - na váhu	0.033	90	2.97
424	Hrušky - na váhu	0.055	116	6.38
452	Celer	20	898	17960
458	Rajčata cherry - na váhu	0.165	-46	0
566	okurky nakladačky - na váhu	0.02	272	5.44
567	cukety - na váhu	0.015	10608	159.12
593	Jablka Cameo - na váhu	0.032	858	27.456
49	Bio žito - na váhu	0.026	6504	169.104
68	BIO Špalda - na váhu	0.05	17880	894
72	Jáhly - na váhu	0.06	10152	609.12
78	BIO Rýže jasmínová - na váhu	0.11	10664	1173.04
83	BIO Rýže tříbarevná natural - na váhu	0.13	1312	170.56
95	BIO Kuskus celozrnný - na váhu	0.08	832	66.56
150	Žitná mouka celozrnná - na váhu	0.021	1540	32.34
153	Slzovka obecná - na váhu	0.31	1226	380.06
162	BIO Cizrna - na váhu	0.105	-2635	0
188	BIO Oves bezpluchý - na váhu	0.053	5559	294.627
321	BIO Fazole červená - na váhu	0.102	2089	213.078
322	BIO Čočka tmavozelená - na váhu	0.09	5126	461.34
323	BIO Lupínky kukuřičné - na váhu	0.095	9934	943.73
336	Pohanka neloupaná k naklíčení - na váhu	0.057	11759	670.263
343	BIO Fazole Mungo - na váhu	0.13	488	63.44
369	Pohanka loupaná kroupy - na váhu	0.095	5548	527.06
407	BIO Rýže basmati - na váhu	0.125	4256	532
420	Těstoviny vřetena pšeničná - na váhu	0.03	8514	255.42
440	Rýže dlouhozrnná - na váhu	0.033	6764	223.212
448	BIO rýžové pukance - na váhu	0.27	764	206.28
461	Vlasové nudle - na váhu	0.027	7966	215.082
465	Čočka hnědá velkozrnná - na váhu	0.055	383	21.065
469	Hrách zelený celý - na váhu	0.03	7096	212.88
480	Špagety - na váhu	0.03	3730	111.9
506	Jáhlová kaše Nomina - na váhu	0.13	2900	377
514	Těstoviny rýžové - na váhu	0.1	10922	1092.2
515	Bulgur pšeničný - na váhu	0.05	14100	705
516	Kuskus - na váhu	0.053	11366	602.398
529	BIO Ječné kroupy - na váhu	0.045	7226	325.17
530	BIO Kukuřičná polenta instantní - na váhu	0.055	4000	220
556	BIO Fazole bílá ledvinka - na váhu	0.08	2112	168.96
557	BIO Čočka červená - na váhu	0.08	-9098	0
562	BIO Rýže kulatozrnná natural - na váhu	0.092	360	33.12
568	BIO Kypřicí prášek do pečiva z vinného kamene - na váhu	0.3	1800	540
569	BIO Ječné lívance (sypká směs) - na váhu	0.125	7232	904
571	BIO Vřetena špaldovo pohanková - na váhu	0.12	2144	257.28
595	BIO Ovesné vločky 3 kg	180	1	180
599	BIO Rýže natural - na váhu	0.098	14050	1376.9
52	Prací gel z mýdlových ořechů bez vůně - stáčený produkt	0.1	25801	2580.1
58	Gel do myčky na nádobí z mýdlových ořechů - stáčený produkt	0.128	13790	1765.12
59	Gel na nádobí - stáčený produkt	0.08	26567	2125.36
60	WC čistič - stáčený produkt	0.079	5617	443.743
62	Aviváž - stáčený produkt	0.097	16098	1561.506
63	Jedlá soda - na váhu	0.046	17924	824.504
67	Prací prášek z mýdlových ořechů na bílé prádlo a látkové pleny - na váhu	0.154	17000	2618
348	Miswak - zubní kartáček	20	227	4540
393	Univerzální čistič - stáčený produkt	0.097	14582	1414.454
394	Olivové mýdlo na ruce 100 g	30	84	2520
404	Odličovací tampónek	20	2	40
443	Tekuté mýdlo s vůní moře - stáčený produkt	0.03	41346	1240.38
454	Máchadlo prádla s levandulovým extraktem - stáčený produkt	0.081	15900	1287.9
456	Regenerační sůl do myčky - na váhu	0.056	13890	777.84
457	Prací gel na vlnu a funkční textil z merino vlny - stáčený produkt	0.175	19320	3381
460	Toaletní papír	18	4	72
488	Bělicí prášek a odstraňovač skvrn PUER na bázi kyslíku - na váhu	0.08	11342	907.36
523	Kyselina citronová - na váhu	0.156	1500	234
564	Prací soda - na váhu	0.04	21568	862.72
580	Šampon bříza - stáčený produkt	0.03	24625	738.75
86	Frolíkova zrnková káva - na váhu	0.39	8800	3432
103	Čajová směs Relax - na váhu	1.5	240	360
115	Máta peprná - na váhu	0.7	122	85.4
119	Meduňka lékařská - na váhu	0.7	282	197.4
120	Sušená levandule - na váhu	0.9	42	37.8
121	Echinacea - na váhu	1.5	350	525
122	Mateřídouška - na váhu	0.7	388	271.6
215	Petrželovo-celerová nať - na váhu	0.7	548	383.6
224	Mátový sirup (v ceně 3 Kč sklo)	75	0	0
225	Slézový sirup (v ceně 3 Kč sklo)	75	0	0
324	Bezinkový sirup (v ceně 3 Kč sklo)	75	0	0
455	Bezinkový sirup s citronovou verbenou (v ceně 3 Kč sklo)	75	0	0
479	Vitakáva - na váhu	0.12	4863	583.56
503	Hrníček Vitakávy	0.2	0	0
532	Zelený sypaný čaj z vesnice DVABZU - na váhu	1.7	18	30.6
533	Čaj KENYA BLACK - na váhu	1.3	82	106.6
92	Srchovský med květový (v ceně 10 Kč sklo)	150	-4	0
94	Srchovský med květový pastový (v ceně 10 Kč sklo)	160	-8	0
209	Jurova klobása - váží zhruba 150 g	0.29	-2828	0
212	Netínský vostřák - váží zhruba 170 g	0.4	-26266	0
213	Netínské uzené maso - na váhu	0.33	-1370	0
240	Pikantní klobása zauzená - váží zhruba 150g	0.3	0	0
297	Kuřecí játrová paštika 130 g	45	-12	0
325	Netínský špekáček - na váhu	0.16	-400	0
337	Kuřecí maso ve vlastní šťávě 250 g	69	0	0
382	Králičí játrová paštika 130 g	48	-4	0
383	Vepřové maso ve vlastní šťávě 250 g	66	-1	0
406	Dršťková polévka 300 g	48	-9	0
430	Kuřecí jatýrka s cibulkou 250 g	60	-1	0
446	Šunkový salám vcelku - na váhu	0.28	-15359	0
487	Netínské párečky - na váhu	0.245	-26786	0
496	Netínská paštika s provensálským kořením 130 g	48	-8	0
262	Chléb slunečnicový - 500 g	34	-130	0
263	Chléb Rokytno - 500 g	22	-89	0
264	Chléb Cibulový - 500 g	35	0	0
265	Rohlík tukový	2.5	-166	0
266	Racio rohlík	8	-628	0
273	Kornšpic	6	0	0
275	Linecké kolečko	9	0	0
268	Dědův rohlíček s makovou náplní	13	-57	0
278	Dědův rohlíček s ořechovou náplní	13	-148	0
277	Dědův rohlíček s povidlovou náplní	13	0	0
284	Mnohozrnná bageta	9	0	0
302	Preclík	4	25	100
313	Houska pletená kmínová	4	-267	0
314	Škvarkový chléb 400 g	36	0	0
315	Buchta švestková 110 g	15	0	0
341	Žitný kváskový chléb 400g	39	-68	0
367	Chlebánek kulatý - 200 g	14	0	0
471	Vícezrnný chléb - 500 g	32	-3	0
472	Bábovka mini 100g	18	-5	0
473	Koláček svatební tvarohový 10g	5.5	-53	0
475	Koláček svatební makový 10g	5.5	-19	0
476	Koláček svatební povidlový 10g	5.5	-6	0
477	Koláček svatební ořechový 10g	5.5	-5	0
495	Sýrovka	10	-77	0
525	Koláč sváteční máslový	10	-93	0
216	Čínská směs - na váhu	0.2	5522	1104.4
360	Pekanové ořechy v čokoládě a kakau - na váhu	0.32	6272	2007.04
396	Mandle pražené uzené - na váhu	0.38	11320	4301.6
401	BIO Bezlepkové pohankové perníčky - na váhu	0.45	598	269.1
402	BIO čoko kokosky s fair trade čokoládou - na váhu	0.44	0	0
411	Arašídy s příchutí wasabi zelené - na váhu	0.15	5452	817.8
347	Arašídy nesolené - na váhu	0.12	10030	1203.6
521	Hořká čokoláda 70% pecky - na váhu	0.22	7177	1578.94
135	Čokoládové kamínky - na váhu	0.15	3895	584.25
534	BIO Kakaová sluníčka rýžová - na váhu	0.14	8880	1243.2
536	Zeleninové chipsy - na váhu	0.59	126	74.34
540	Nugát sojový - váží zhruba 12 g	0.25	6097	1524.25
558	BIO Želé medvídci vegan - na váhu	0.35	1884	659.4
560	Krekry rajčatové, dýňové, kurkumové	15	21	315
578	Müsli tyčinky Sebranky	35	21	735
594	Japonská směs Kosaki - na váhu	0.18	2544	457.92
611	Mandle čokoládové VAJÍČKO - na váhu	0.42	1708	717.36
612	BIO 100% arašídová pasta - váží zhruba 400 g	0.238	3600	856.8
235	Slunečnice semínka loupaná - na váhu	0.05	12072	603.6
288	Mák modrý - na váhu	0.095	45318	4305.21
291	Chia semínka - na váhu	0.149	501	74.649
310	Sezam natural - na váhu	0.072	17951	1292.472
255	Len hnědý - na váhu	0.009	6569	59.121
356	Dýňová semínka loupaná - na váhu	0.17	1816	308.72
70	BIO Amarant - na váhu	0.063	6898	434.574
509	Quinoa bílá - na váhu	0.112	168	18.816
295	Sójový nápoj s vápníkem a lecitinem - na váhu	0.11	9168	1008.48
317	Kokosový nápoj - na váhu	0.11	8976	987.36
363	Bernard FREE 0,5 l	22	7	154
306	Birell 0,5 l	20	0	0
307	Vilém 11° 0,5 l	17	9	153
482	Cappy různé příchutě vratné sklo 0,25l	28	5	140
565	Sirup Jupi 0,7l	40	1	40
613	Svařené víno červené minimální odběr 0,5 l - stáčený produkt	0.12	0	0
614	Muller Thurgau - lahev 1l	89	5	445
615	Rulandské modré - lahev 1l	98	4	392
616	Zweigeltrebe rosé - lahev 1l	98	6	588
617	Rulandské šedé - lahev 1l	98	5	490
166	RAW Lísková jádra - na váhu	0.36	336	120.96
326	Kešu - na váhu	0.4	19288	7715.2
168	RAW Mandle Valencia - na váhu	0.34	2995	1018.3
169	Mandle loupané - na váhu	0.37	4263	1577.31
490	Mandle lupínky - na váhu	0.37	218	80.66
334	Vlašská jádra - na váhu	0.26	7312	1901.12
398	Pekanové ořechy - na váhu	0.6	11216	6729.6
520	Para ořechy - na váhu	0.38	357	135.66
531	Makadamové ořechy přírodní - na váhu	0.95	180	171
538	Ořechy Salty - na váhu	0.38	438	166.44
395	Pistácie loupané - na váhu	0.61	8592	5241.12
85	BIO Olej slunečnicový - stáčený produkt	0.09	9295	836.55
504	Olej řepkový - stáčený produkt	0.06	16954	1017.24
468	Holandské kakao - na váhu	0.2	6244	1248.8
410	7.G Sedmá generace - společensko-ekologický časopis	77	5	385
484	Ručně malovaný nástěnný kalendář 2019	490	3	1470
581	Skleněné brčko 18cm	78	10	780
582	Skleněné brčko 24cm	88	10	880
583	Kartáček na čištění brček	32	5	160
606	Merlin 14 % alk. - stáčený produkt	0.085	27508	2338.18
601	Rakvické šedé 11% alk. - stáčený produkt	0.085	19228	1634.38
602	Tračer 12% alk. - stáčený produkt	0.065	29250	1901.25
603	Vezel 11,5 % alk. - stáčený produkt	0.085	25094	2132.99
604	Černý rybíz víno 10,5 % alk. - stáčený produkt	0.085	28516	2423.86
605	Hruškové víno 14 % alk. - stáčený produkt	0.085	26500	2252.5
316	Mošt jablko s červenou řepou - stáčený produkt	0.1	-100	0
328	Hrníček turecké kávy od Frolíka	25	49	1225
329	Hrníček relaxačního čaje	15	-2	0
563	Mošt ovocný lažany lahev 1000ml	60	4	240
574	Moravský burčák z Rakvic bílý 100ml	10	0	0